Tipo,Matéria,Assunto,Questões Encontradas,Percentual (%),Freq. Acumulada,Questões no Caderno
ASSUNTO,História,A Constituição de 1891,2,0.04%,98.41%,0
ASSUNTO,História,Governo Jânio Quadros (1961),2,0.04%,98.55%,0
ASSUNTO,História,Política Brasileira na Nova República,2,0.04%,98.69%,0
ASSUNTO,História,"Estados Modernos, Antigo Regime e Absolutismo",2,0.04%,98.83%,0
ASSUNTO,História,"Pré-Descobrimento (até 1.500, incluindo Tratado de Tordesilhas)",1,0.02%,98.89%,0
ASSUNTO,História,Descobrimento e Primeira Colonização (de 1500 a 1530),1,0.02%,98.96%,0
ASSUNTO,História,Extração de Pau Brasil e a Concorrência Estrangeira,1,0.02%,99.03%,0
ASSUNTO,História,"Os Índios durante o Período Colonial (Alianças, Conflitos, Aculturação, Escravidão, etc)",1,0.02%,99.10%,0
ASSUNTO,História,"Os Negros durante o Período Colonial (Cultura, Escravidão, Tráfico Negreiro, etc)",1,0.02%,99.17%,0
ASSUNTO,História,"Artes, Cultura e Sociedade Coloniais (Educação, Ciência, Artes)",1,0.02%,99.24%,0
ASSUNTO,História,"A Escravidão Durante o Primeiro Reinado. Tratado Anglo Brasileiro, Lei Feijó.",1,0.02%,99.31%,0
ASSUNTO,História,"Religião, Sociedade e Cultura durante o Primeiro Reinado (Educação, Ciência, Artes)",1,0.02%,99.38%,0
ASSUNTO,História,A Crise Final do Primeiro Reinado e a Abdicação de Dom Pedro,1,0.02%,99.45%,0
ASSUNTO,História,A Crise do Período Regencial e o Golpe de Maioridade (1840),1,0.02%,99.52%,0
ASSUNTO,História,Revolução Praieira,1,0.02%,99.59%,0
ASSUNTO,História,Movimento Operário e Anarquismo durante a República Oligárquica,1,0.02%,99.65%,0
ASSUNTO,História,"Artes, Cultura e sociedade na República Liberal",1,0.02%,99.72%,0
ASSUNTO,História,História do Acre,1,0.02%,99.79%,0
ASSUNTO,História,História Militar e Naval,1,0.02%,99.86%,0
ASSUNTO,História,Grandes Navegações,1,0.02%,99.93%,0
ASSUNTO,História,"Povos Americanos (Maias, Astecas e Incas)",1,0.02%,100.00%,0
MATÉRIA,Língua Portuguesa (Português),,945,16.58%,,945
ASSUNTO,Língua Portuguesa (Português),Interpretação de Textos (Compreensão),403,7.07%,42.65%,0
ASSUNTO,Língua Portuguesa (Português),Reescrita de Frases. Substituição de Palavras ou Trechos de Texto.,87,1.53%,51.85%,0
ASSUNTO,Língua Portuguesa (Português),"Coerência. Coesão (Anáfora, Catáfora, Uso dos Conectores - Pronomes Relativos, Conjunções, etc)",60,1.05%,58.20%,0
ASSUNTO,Língua Portuguesa (Português),Significação de Vocábulo e Expressões,36,0.63%,62.01%,0
ASSUNTO,Língua Portuguesa (Português),"Pontuação (Ponto, Vírgula, Travessão, Aspas, Parênteses, etc)",34,0.60%,65.61%,0
ASSUNTO,Língua Portuguesa (Português),Outras Questões de Português e Questões Mescladas (Interpretação de Textos ou Gramática),33,0.58%,69.10%,0
ASSUNTO,Língua Portuguesa (Português),Sinônimos e Antônimos,22,0.39%,71.43%,0
ASSUNTO,Língua Portuguesa (Português),Outras Questões de Semântica,17,0.30%,73.23%,0
ASSUNTO,Língua Portuguesa (Português),Figuras de Linguagem,16,0.28%,74.92%,0
ASSUNTO,Língua Portuguesa (Português),Tipologia e Gênero Textual,16,0.28%,76.61%,0
ASSUNTO,Língua Portuguesa (Português),Regência Nominal e Verbal (Casos Gerais),13,0.23%,77.99%,0
ASSUNTO,Língua Portuguesa (Português),Formação e Estrutura das Palavras,12,0.21%,79.26%,0
ASSUNTO,Língua Portuguesa (Português),Conjugação. Reconhecimento e Emprego dos Modos e Tempos Verbais,12,0.21%,80.53%,0
ASSUNTO,Língua Portuguesa (Português),Conjunção,12,0.21%,81.80%,0
ASSUNTO,Língua Portuguesa (Português),Denotação e Conotação,10,0.18%,82.86%,0
ASSUNTO,Língua Portuguesa (Português),Sujeito,9,0.16%,83.81%,0
ASSUNTO,Língua Portuguesa (Português),Elementos da Comunicação e Funções da Linguagem,9,0.16%,84.76%,0
ASSUNTO,Língua Portuguesa (Português),"Termos Integrantes (Objeto Direto e Indireto, Complemento Nominal e Agente da Passiva)",8,0.14%,85.61%,0
ASSUNTO,Língua Portuguesa (Português),Concordância (Verbal e Nominal),8,0.14%,86.46%,0
ASSUNTO,Língua Portuguesa (Português),"Partícula ""Se""",8,0.14%,87.30%,0
ASSUNTO,Língua Portuguesa (Português),Clareza e Correção,8,0.14%,88.15%,0
ASSUNTO,Língua Portuguesa (Português),Colocação Pronominal,7,0.12%,88.89%,0
ASSUNTO,Língua Portuguesa (Português),Linguagem Formal e Informal,7,0.12%,89.63%,0
ASSUNTO,Língua Portuguesa (Português),Predicado,6,0.11%,90.26%,0
ASSUNTO,Língua Portuguesa (Português),Questões Mescladas de Sintaxe,6,0.11%,90.90%,0
ASSUNTO,Língua Portuguesa (Português),Crase,6,0.11%,91.53%,0
ASSUNTO,Língua Portuguesa (Português),"Vocábulo ""Que""",6,0.11%,92.17%,0
ASSUNTO,Língua Portuguesa (Português),Adjetivo,5,0.09%,92.70%,0
ASSUNTO,Língua Portuguesa (Português),Orações Subordinadas Adjetivas,5,0.09%,93.23%,0
ASSUNTO,Língua Portuguesa (Português),Acentuação,4,0.07%,93.65%,0
ASSUNTO,Língua Portuguesa (Português),Orações Subordinadas Adverbiais,4,0.07%,94.07%,0
ASSUNTO,Língua Portuguesa (Português),Função Sintática dos Pronomes Pessoais Átonos,4,0.07%,94.50%,0
ASSUNTO,Língua Portuguesa (Português),"Tipos de Discurso (Direto, Indireto e Indireto Livre)",4,0.07%,94.92%,0
ASSUNTO,Língua Portuguesa (Português),Paralelismo,4,0.07%,95.34%,0
ASSUNTO,Língua Portuguesa (Português),"Convenções de Escrita (Itálico, Siglas, etc)",3,0.05%,95.66%,0
ASSUNTO,Língua Portuguesa (Português),Questões Variadas de Verbo,3,0.05%,95.98%,0
ASSUNTO,Língua Portuguesa (Português),Advérbio,3,0.05%,96.30%,0
ASSUNTO,Língua Portuguesa (Português),Preposição,3,0.05%,96.61%,0
ASSUNTO,Língua Portuguesa (Português),Polissemia,3,0.05%,96.93%,0
